Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
academic_articles,State of the art of lifecourse cohort establishment,China CDC Weekly,,,2024,"**Shaoqing Dai**, Ge Qiu, Yuchen Li, Shuhan Yang, Shujuan Yang, Peng Jia","6(14), 300–304. doi:10.46234/ccdcw2024.058.","SCI/SSCI, IF = 2.9",
academic_articles,Long-term dynamic monitoring and driving force analysis of eco-environmental quality in China,Remote Sensing,,,2024,"Weiwei Zhang, Zixi Liu, Kun Qin, **Shaoqing Dai**, Huiyuan Lu, Miao Lu, Jianwan Ji, Zhaohui Yang, Chao Chen, Peng Jia",16(6): 1028 doi:10.3390/rs16061028.,"SCI, IF=4.1",TRUE
academic_articles,Mixed land use has opposite associations with subjective well-being through social capital: Spatial heterogeneity in residential and workplace neighborhoods,Travel Behaviour and Society,,,2024,"Chun Yin, Jiahang Liu, **Shaoqing Dai**, Bindong Sun","35, 100724. doi:10.1016/j.tbs.2023.100724.","SSCI, IF=5.7",TRUE
academic_articles,"Local carbon emission zone construction in the highly urbanized regions: Application of residential and transport CO<SUB>2</SUB> emissions in Shanghai, China",Building and Environment,,,2024,"Yunfeng Tian, Shudi Zuo, Jiaheng Ju, **Shaoqing Dai**, Yin Ren, Panfeng Dou.","247, 111007. doi:10.1016/j.buildenv.2023.111007.","SCI, IF=7.6",TRUE
academic_articles,"Assessing Spatiotemporal Bikeability Using Multi-Source Geospatial Big Data: A Case Study of Xiamen, China",International Journal of Applied Earth Observation and Geoinformation,,,2023,"**Shaoqing Dai**, Wufan Zhao, Yanwen Wang, Xiao Huang, Zhidong Chen, Jinghan Lei, Alfred Stein, Peng Jia.","125, 103539.
doi:10.1016/j.jag.2023.103539.","SCI, IF=8.6",TRUE
academic_articles,Development and validation of an age-sex-ethnicity-specific metabolic syndrome score in the Chinese adults,Nature Communications,,,2023,"Shujuan Yang, Bin Yu, Wanqi Yu, **Shaoqing Dai**, Chuanteng Feng, Ying Shao,Xing Zhao, Xiaoqing Li, Tianjing
He, Peng Jia.","14(1), 6988. doi:10.1038/s41467-023-42423-y","SCI, IF=15.7",TRUE
academic_articles,Environmental determinants of childhood obesity: a meta-analysis,The Lancet Global Health,,,2023,"Peng Jia, Yuanyuan Shi, Qi Jiang, **Shaoqing Dai**,Bin Yu, Shuhan Yang, Ge Qiu, Shujuan Yang.","11, S7. doi:10.1016/S2214-109X(23)00092-X.","SCI, IF=18.0",TRUE
academic_articles,The importance of the functional mixed entropy for the explanation of residential and transport CO<SUB>2</SUB> emissions in the urban center of China,journal of Cleaner Production,,,2022,"Shudi Zuo, **Shaoqing Dai**, Jiaheng Ju, Fanxin Meng, Yin Ren, Yunfeng Tian, Kaide Wang","380, 134947. doi:10.1016/j.jclepro.2022.134947. ","SCI, IF=10.0",TRUE
academic_articles,Global spreading of Omicron variant of COVID-19,Geospatial Health,,,2022,"Pengxin Zhang, Shuhan Yang, **Shaoqing Dai**, Darren How Jin Aik, Shujuan Yang, Peng Jia.",Geospatial Health. 17. doi:10.4081/gh.2022.1083.,"SCI, IF=0.9",
academic_articles,Quantifying urban mass gain and loss by a GIS‐based material stocks and flows analysis. Journal of Industrial Ecology,Journal of Industrial Ecology,,,2022,"Yupeng Liu, Jiajia Li, Weiqiang Chen, Lulu Song, **Shaoqing Dai**.","26(3), 1051-1060. doi:10.1111/jiec.13252.","SCI, IF=5.4",TRUE
